id,source_name,source_url,product_url,title,description,category,tags,material,craft_type,image_url,price_inr,rating,review_count,availability,scraped_at,image_hash,text_embedding_id,quality_score
mkt_00011,curated_handicraft_market,https://artisanx-market-data.internal/v1,https://artisanx-market-data.internal/v1/textiles/pochampally-ikat-cotton-dupatta,Pochampally Ikkat Handwoven Pure Cotton Dupatta,Double ikkat geometric resist-dyed cotton stole woven on traditional pit looms.,Apparel & Textiles,"pochampally, ikkat, cotton dupatta, handloom, tie dye",Organic Cotton,Ikat Weaving,https://images.unsplash.com/photo-1583391733956-3750e0ff4e8b?w=600,1150.0,4.6,47,in_stock,2026-09-19T08:37:19.998156+00:00,f594c9f5f58fd66a,txt_00011,0.95
mkt_00012,traditional_handloom_registry,https://handlooms.nic.in/market,https://handlooms.nic.in/market/kashmir-pashmina-shawl-hand-embroidered,Authentic Hand-Spun Kashmiri Pashmina Shawl with Sozni Needlework,Ultra-soft grade A Changthangi cashmere goat fleece spun on charkha with intricate hand embroidery.,Apparel & Textiles,"pashmina, cashmere, sozni embroidery, kashmir shawl, luxury",Changthangi Cashmere,Pashmina Weaving,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=600,16500.0,5.0,21,in_stock,2026-09-19T08:37:19.998156+00:00,05fd49191e22b3b2,txt_00012,0.95
mkt_00013,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/dhokra-brass-tribal-dancer,Dhokra Lost-Wax Cast Brass Tribal Musician Figurine,4000-year-old non-ferrous metal casting craft practiced by indigenous artisans with beeswax cores.,Art & Collectibles,"dhokra, brass, tribal craft, lost wax, sculpture",Brass Metal Alloy,Dhokra Metal Casting,https://images.unsplash.com/photo-1544717305-2782549b5136?w=600,2200.0,4.8,31,in_stock,2026-09-19T08:37:19.998156+00:00,7547a4bdee03c705,txt_00013,0.95
mkt_00014,curated_handicraft_market,https://artisanx-market-data.internal/v1,https://artisanx-market-data.internal/v1/metal/moradabad-brass-diya-lamp,Handcrafted Moradabad Brass Oil Lamp with Peacock Finial 10 Inch,Heavy solid brass puja deepam with polished gold finish and hand-chiseled feather engravings.,Home Decor,"brass diya, moradabad brass, puja lamp, peacock, metal craft",Solid Brass,Metal Engraving & Casting,https://images.unsplash.com/photo-1590486803833-1c5dc8ddd4c8?w=600,1750.0,4.7,59,in_stock,2026-09-19T08:37:19.998156+00:00,d0b3079ebf8e9093,txt_00014,0.95
mkt_00015,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/bidriware-silver-inlay-coaster-set,Bidriware Zinc-Copper Alloy Coaster Set with Pure Silver Inlay,Ancient craft of Bidar with blackened metal alloy inlaid with pure silver floral vines.,Home Decor,"bidriware, silver inlay, zinc alloy, gi craft, coasters",Zinc Copper Alloy & Pure Silver,Bidriware Inlay,https://images.unsplash.com/photo-1513519245088-0e12902e5a38?w=600,3400.0,4.9,19,in_stock,2026-09-19T08:37:19.998156+00:00,e204dc735c4c72f6,txt_00015,0.95
mkt_00016,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/kolhapuri-chappal-leather-handcrafted,Authentic Hand-Stitched Kolhapuri Leather Chappals (Tan Brown),Vegetable-tanned buffalo leather slippers hand-braided with cords and natural dyes.,Footwear,"kolhapuri, leather chappals, handcrafted, vegetable tanned, ethnic",Vegetable Tanned Leather,Leathercraft,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=600,1499.0,4.6,82,in_stock,2026-09-19T08:37:19.998156+00:00,1d6bfc2fa5c0807d,txt_00016,0.95
mkt_00017,curated_handicraft_market,https://artisanx-market-data.internal/v1,https://artisanx-market-data.internal/v1/leather/shantiniketan-embossed-tote-bag,Shantiniketan Hand-Embossed Leather Shoulder Tote Bag,Artisanal hand-tooled leather bag using traditional batik print and vegetable dye embossing.,Bags & Accessories,"shantiniketan, leather bag, embossed, batik leather, handcrafted",Buff Leather,Leathercraft,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=600,2850.0,4.7,44,in_stock,2026-09-19T08:37:19.998156+00:00,4259796eb25d6bc2,txt_00017,0.95
mkt_00018,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/madhubani-painting-tree-of-life,Original Madhubani Painting - Tree of Life with Natural Dyes,Hand-painted Mithila artwork created on handmade paper using bamboo nibs and mineral pigments.,Art & Paintings,"madhubani, mithila art, tree of life, natural dyes, folk painting",Handmade Paper & Herbal Pigments,Madhubani Painting,https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=600,3200.0,4.9,27,in_stock,2026-09-19T08:37:19.998156+00:00,18655bd8e739882e,txt_00018,0.95
mkt_00019,curated_handicraft_market,https://artisanx-market-data.internal/v1,https://artisanx-market-data.internal/v1/art/warli-tribal-wall-hanging,Framed Warli Tribal Canvas Art - Village Celebration,Traditional geometric folk painting using rice paste pigment on ochre mud-textured background.,Art & Paintings,"warli, tribal art, canvas painting, folk art, wall decor",Canvas & Rice Paste,Warli Painting,https://images.unsplash.com/photo-1582555172866-f73bb12a2ab3?w=600,2100.0,4.8,35,in_stock,2026-09-19T08:37:19.998156+00:00,1f163707f216820a,txt_00019,0.95
mkt_00020,india_crafts_open_catalog,https://data.gov.in/resource/handicrafts,https://data.gov.in/resource/handicrafts/cuttack-silver-filigree-tarakasi-earrings,Cuttack Tarakasi Silver Filigree Dangling Jhumka Earrings,Exquisite fine silver wire filigree jewelry hand-twisted by master silversmiths.,Jewelry,"silver filigree, tarakasi, cuttack, jhumka, silver jewelry",92.5 Sterling Silver,Filigree Silvercraft,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600,3800.0,4.9,51,in_stock,2026-09-19T08:37:19.998156+00:00,f3966e54c00b7a02,txt_00020,0.95
mkt_00021,curated_handicraft_market,https://artisanx-market-data.internal/v1,https://artisanx-market-data.internal/v1/jewelry/terracotta-painted-necklace-set,Hand-Painted Terracotta Choker Necklace and Earrings Set,Clay bead jewelry with hand-painted ethnic peacock motifs and adjustable cotton dori.,Jewelry,"terracotta jewelry, clay necklace, hand painted, ethnic choker, handmade",Baked Clay & Cotton Thread,Pottery & Terracotta,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600,750.0,4.5,68,in_stock,2026-09-19T08:37:19.998156+00:00,93934d347bf7d4aa,txt_00021,0.95
